Time (s),USB Status,CPU Temperature ('C),CPU Utilization (%),Throttle Status,CPU Frequency (hz),Core Frequency (hz),CPU Voltage (V),Memory Controller Voltage (V),Memory I/O Voltage (V),Memory Chip Voltage (V),Memory Free (Mb),Memory Free Percent (Mb)
5.759,1,54.0,31.3%,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7451.0,5.7
5.837,1,55.0,29.0%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7450.2,5.7
5.915,1,54.0,29.0%,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7450.0,5.7
5.992,1,53.0,31.2%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7449.6,5.7
6.71,1,53.5,24.1%,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7449.7,5.7
6.148,1,54.0,30.0%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7450.2,5.7
6.226,1,54.5,31.2%,50000,1800404352,499987808,0.9160,1.1000,1.1000,1.1000,7898.4,7450.1,5.7
6.303,1,54.5,29.0%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7450.0,5.7
6.381,1,53.5,24.1%,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7450.3,5.7
6.458,1,54.0,29.0%,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7449.5,5.7
6.536,1,54.5,26.7%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7449.5,5.7
6.614,1,54.5,31.2%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7449.3,5.7
6.692,1,54.5,31.2%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7449.4,5.7
6.769,1,54.0,29.0%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7449.4,5.7
6.847,1,54.5,29.0%,50000,1800404352,499987808,0.9160,1.1000,1.1000,1.1000,7898.4,7448.7,5.7
6.925,1,55.0,33.3%,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7448.9,5.7
7.3,1,56.0,29.0%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7448.7,5.7
7.81,1,54.0,24.1%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7448.8,5.7
7.158,1,53.5,26.7%,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7448.8,5.7
7.237,1,54.5,29.0%,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7448.9,5.7
7.316,1,54.0,29.0%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7448.3,5.7
7.394,1,55.0,31.2%,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7448.8,5.7
7.471,1,53.0,35.3%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7448.2,5.7
7.549,1,54.0,31.3%,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7448.3,5.7
7.627,1,55.0,25.8%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7447.8,5.7
7.705,1,54.5,32.3%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7447.9,5.7
7.783,1,55.0,25.8%,50000,1800457088,499987808,0.9160,1.1000,1.1000,1.1000,7898.4,7448.0,5.7
7.861,1,53.5,24.1%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7447.6,5.7
7.938,1,53.5,33.3%,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7447.8,5.7
8.17,1,54.0,26.7%,50000,1800404352,499987808,0.9160,1.1000,1.1000,1.1000,7898.4,7447.2,5.7
8.94,1,55.0,26.7%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7447.4,5.7
8.173,1,53.5,31.2%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7447.1,5.7
8.251,1,55.0,26.7%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7447.3,5.7
8.329,1,54.5,31.3%,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7447.1,5.7
8.407,1,54.5,29.0%,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7447.7,5.7
8.484,1,54.0,24.1%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7446.7,5.7
8.562,1,54.0,26.7%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7446.2,5.7
8.640,1,53.5,24.1%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7446.6,5.7
8.718,1,54.5,24.1%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7446.8,5.7
8.795,1,55.0,29.0%,50000,1800404352,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7446.1,5.7
8.873,1,54.0,29.0%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7446.1,5.7
8.952,1,55.0,29.0%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7446.3,5.7
9.29,1,54.5,26.7%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7446.3,5.7
9.107,1,54.5,33.3%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7446.3,5.7
9.184,1,54.5,26.7%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7445.8,5.7
9.262,1,54.0,29.0%,50000,1800457088,500000992,0.9160,1.1000,1.1000,1.1000,7898.4,7445.7,5.7
9.341,1,55.0,26.7%,50000,1800457088,499987808,0.9160,1.1000,1.1000,1.1000,7898.4,7445.8,5.7
